"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Constituency","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"10024","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18199/2025-2026/200114","AMBEDKAR NAGAR(DISTRICT MAGISTRATE AMBEDKAR NAGAR_IDA)","LALJI VERMA","AMBEDKAR NAGAR","13-Mar-2026","jai prakash verma","Payment Success","613225"
"10025","Lakshadweep","Purchase of IT systems, including hardware and software for educational purposes","WS/MP18279/2025-2026/224094","LAKSHADWEEP DISTRICT(COLLECTOR CUM DEV COMMISSIONER LAKSHADWEEP_IDA)","MUHAMMED HAMDULLAH SAYEED","LAKSHADWEEP(ST)","12-Mar-2026","FORTUNE HEIGHTS","Payment Success","319200"
"10026","Uttarakhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP021/2025-2026/252345","Udham Singh Nagar(DISTRICT MAGISTRATE UDHAMSINGH NAGAR_IDA)","Ajay Bhatt","NAINITAL UDHAM SINGH NAG.","18-Mar-2026","HIM CONSTRUCTION","Payment Success","499113"
"10027","Punjab","Construction of rooms and halls in school and colleges","WS/MP18156/2025-2026/225098","JALANDHAR(DEPUTY COMMISSIONER JALANDHAR_IDA)","CHARANJIT SINGH CHANNI","JALANDHAR(SC)","27-May-2026","CORAL ENGINEERS AND INNOVATIONS","Payment Success","317838"
"10028","Tamil Nadu","Construction of buildings for community cultural activities","WS/MP18176/2025-2026/206482","DINDIGUL(DISTRICT COLLECTOR DINDIGUL_IDA)","SACHITHANANTHAM R","DINDIGUL","18-Jun-2026","P KUMAR","Payment Success","1000000"
"10029","Tamil Nadu","Construction of buildings for community cultural activities","WS/MP18176/2025-2026/206508","DINDIGUL(DISTRICT COLLECTOR DINDIGUL_IDA)","SACHITHANANTHAM R","DINDIGUL","11-Jun-2026","P KUMAR","Payment Success","1000000"
"10030","Tamil Nadu","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP740/2025-2026/211763","THE NILGIRIS(DISTRICT COLLECTOR NILGIRIS_IDA)","Andimuthu Raja","NILGIRIS(SC)","12-Mar-2026","SHANKAR G S","Payment Success","700000"
"10031","Gujarat","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18324/2025-2026/220765","BHAVNAGAR(DISTRICT COLLECTOR BHAVNAGAR_IDA)","BHARATBHAI MANUBHAI SUTARIYA","AMRELI","06-Apr-2026","VIRADI GRAM PANCHAYAT","Payment Success","297439"
"10032","Karnataka","Construction of community centers and community halls","WS/MP623/2025-2026/171124","VIJAYAPURA(DEPUTY COMMISSIONER BIJAPUR_IDA)","Ramesh Chandappa Jigajinagi","BIJAPUR(SC)","13-Mar-2026","RAJSHEKHAR S SAJJAN","Payment Success","355226"
"10033","West Bengal","Providing drains and gutters for public drainage","WS/MP18353/2025-2026/230384","HOOGHLY(DISTRICT MAGISTRATE HOOGHLY_IDA)","RACHNA BANERJEE","HOOGHLY","12-Mar-2026","SINJINI CONSTRUCTION","Payment Success","199037"
"10034","West Bengal","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18353/2025-2026/242135","HOOGHLY(DISTRICT MAGISTRATE HOOGHLY_IDA)","RACHNA BANERJEE","HOOGHLY","12-Mar-2026","SINJINI CONSTRUCTION","Payment Success","249979"
"10035","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18157/2025-2026/241180","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","12-Mar-2026","Rajinder Bld Mtrl Str and Rental Service","Payment Success","115950"
"10036","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18157/2025-2026/241180","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","12-Mar-2026","Aroosa Interlock Tiles","Payment Success","236600"
"10037","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18157/2025-2026/241180","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","06-Aug-2026","Aroosa Interlock Tiles","Payment Success","23660"
"10038","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18157/2024-2025/172348","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","11-May-2026","Aroosa Interlock Tiles","Payment Success","77105"
"10039","Tripura","Purchase of smart boards, visual display units and projectors","WS/MP18197/2025-2026/232636","West Tripura(DISTRICT MAGISTRATE WEST TRIPURA_IDA)","BIPLAB KUMAR DEB","TRIPURA WEST","07-Apr-2026","Y N Enterprises","Payment Success","1987000"
"10040","Chhattisgarh","Construction of common work sheds/ common covered sitting area","WS/MP429/2025-2026/260206","Manendragarh-Chirmiri-Bharatpur(M C B)(Collector MCB_IDA)","Jyotsna Charandas Mahant","KORBA","10-Mar-2026","GRAM PANCHAYAT KADRENWA","Payment Success","175000"
"10041","Assam","Construction of culverts and bridges","WS/MP18026/2025-2026/241754","CHIRANG(Deputy Commissioner Chirang_IDA)","JOYANTA BASUMATARY","KOKRAJHAR (ST)","11-Mar-2026","BINAD BASUMATARY","Payment Success","750000"
"10042","Assam","Construction of culverts and bridges","WS/MP18026/2025-2026/241754","CHIRANG(Deputy Commissioner Chirang_IDA)","JOYANTA BASUMATARY","KOKRAJHAR (ST)","15-Jul-2026","BINAD BASUMATARY","Payment Success","250000"
"10043","Punjab","Street lights","WS/MP18314/2025-2026/190993","SANGRUR(DEPUTY COMMISSIONER SANGRUR_IDA)","GURMEET SINGH MEET HAYER","SANGRUR","27-Mar-2026","Vijay Electric Traders","Payment Success","40000"
"10044","Chhattisgarh","Construction of common work sheds/ common covered sitting area","WS/MP429/2025-2026/260204","Manendragarh-Chirmiri-Bharatpur(M C B)(Collector MCB_IDA)","Jyotsna Charandas Mahant","KORBA","10-Mar-2026","GRAM PANCHAYAT DHAWALPUR","Payment Success","175000"
"10045","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18098/2025-2026/235723","SEONI(District Collector Seoni_IDA)","BHARTI PARDHI","BALAGHAT","16-Mar-2026","VAIBHAV LAXMI PIPE","Payment Success","67500"
"10046","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP640/2026-2027/151610","SEONI(District Collector Seoni_IDA)","Faggan Singh Kulaste","MANDLA(ST)","21-May-2026","VAIBHAV LAXMI PIPE","Payment Success","63653"
"10047","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP640/2026-2027/151610","SEONI(District Collector Seoni_IDA)","Faggan Singh Kulaste","MANDLA(ST)","21-May-2026","VAIBHAV LAXMI PIPE","Payment Success","57711"
"10048","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP640/2026-2027/151613","SEONI(District Collector Seoni_IDA)","Faggan Singh Kulaste","MANDLA(ST)","21-May-2026","VAIBHAV LAXMI PIPE","Payment Success","198048"
"10049","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP640/2026-2027/151613","SEONI(District Collector Seoni_IDA)","Faggan Singh Kulaste","MANDLA(ST)","21-May-2026","VAIBHAV LAXMI PIPE","Payment Success","193424"
"10050","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP640/2026-2027/151613","SEONI(District Collector Seoni_IDA)","Faggan Singh Kulaste","MANDLA(ST)","21-May-2026","VAIBHAV LAXMI PIPE","Payment Success","193424"
"10051","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP640/2026-2027/151613","SEONI(District Collector Seoni_IDA)","Faggan Singh Kulaste","MANDLA(ST)","21-May-2026","VAIBHAV LAXMI PIPE","Payment Success","193424"
"10052","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP640/2026-2027/151613","SEONI(District Collector Seoni_IDA)","Faggan Singh Kulaste","MANDLA(ST)","21-May-2026","VAIBHAV LAXMI PIPE","Payment Success","166675"
"10053","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP640/2026-2027/151613","SEONI(District Collector Seoni_IDA)","Faggan Singh Kulaste","MANDLA(ST)","21-May-2026","VAIBHAV LAXMI PIPE","Payment Success","5500"
"10054","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP640/2026-2027/151609","SEONI(District Collector Seoni_IDA)","Faggan Singh Kulaste","MANDLA(ST)","15-May-2026","VAIBHAV LAXMI PIPE","Payment Success","199659"
"10055","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP640/2026-2027/151609","SEONI(District Collector Seoni_IDA)","Faggan Singh Kulaste","MANDLA(ST)","15-May-2026","VAIBHAV LAXMI PIPE","Payment Success","63653"
"10056","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP640/2026-2027/151609","SEONI(District Collector Seoni_IDA)","Faggan Singh Kulaste","MANDLA(ST)","15-May-2026","VAIBHAV LAXMI PIPE","Payment Success","244802"
"10057","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP640/2026-2027/151609","SEONI(District Collector Seoni_IDA)","Faggan Singh Kulaste","MANDLA(ST)","15-May-2026","VAIBHAV LAXMI PIPE","Payment Success","178610"
"10058","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP640/2026-2027/151609","SEONI(District Collector Seoni_IDA)","Faggan Singh Kulaste","MANDLA(ST)","15-May-2026","VAIBHAV LAXMI PIPE","Payment Success","255541"
"10059","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP640/2026-2027/151609","SEONI(District Collector Seoni_IDA)","Faggan Singh Kulaste","MANDLA(ST)","15-May-2026","VAIBHAV LAXMI PIPE","Payment Success","57711"
"10060","Maharashtra","Construction of community centers and community halls","WS/MP673/2025-2026/169929","Dharashiv(DISTRICT COLLECTOR OSMANABAD_IDA)","Omprakash Bhupalsinh Alias Pawan Rajenimbalkar","OSMANABAD","10-Mar-2026","Ganesh Samb Vharkat","Payment Success","1293928"
"10061","Telangana","Construction of common work sheds/ common covered sitting area","WS/MP18187/2026-2027/219973","ADILABAD(DISTRICT COLLECTOR ADILABAD_IDA)","GODAM NAGESH","ADILABAD(ST)","17-Apr-2026","Chouhan Lokesh","Payment Success","181341"
"10062","Rajasthan","Construction of community centers and community halls","WS/MP719/2025-2026/240536","AJMER(DISTRICT COLLECTOR AJMER_IDA)","Bhagirath Chaudhary","AJMER","12-Mar-2026","RAJASTHAN CONSTRUCTION AND ENTERPRISES","Payment Success","300091"
"10063","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18154/2025-2026/166548","GURDASPUR(DEPUTY COMMISSIONER GURDASPUR_IDA)","SUKHJINDER SINGH RANDHAWA","GURDASPUR","10-Mar-2026","MS CHANDAN TILES INDUSTRY","Payment Success","68820"
"10064","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18154/2025-2026/245785","GURDASPUR(DEPUTY COMMISSIONER GURDASPUR_IDA)","SUKHJINDER SINGH RANDHAWA","GURDASPUR","17-Mar-2026","MS CHANDAN TILES INDUSTRY","Payment Success","106693"
"10065","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18154/2025-2026/245785","GURDASPUR(DEPUTY COMMISSIONER GURDASPUR_IDA)","SUKHJINDER SINGH RANDHAWA","GURDASPUR","17-Mar-2026","MS CHANDAN TILES INDUSTRY","Payment Success","114700"
"10066","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18154/2025-2026/224800","GURDASPUR(DEPUTY COMMISSIONER GURDASPUR_IDA)","SUKHJINDER SINGH RANDHAWA","GURDASPUR","18-May-2026","MS CHANDAN TILES INDUSTRY","Payment Success","132005"
"10067","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18163/2025-2026/264636","DAUSA(DISTRICT COLLECTOR DAUSA_IDA)","MURARI LAL MEENA","DAUSA(ST)","12-Mar-2026","ankit kumar meena","Payment Success","172811"
"10068","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18163/2025-2026/264636","DAUSA(DISTRICT COLLECTOR DAUSA_IDA)","MURARI LAL MEENA","DAUSA(ST)","12-Mar-2026","ankit kumar meena","Payment Success","279726"
"10069","Gujarat","Construction of common work sheds/ common covered sitting area","WS/MP574/2025-2026/180898","PATAN(DISTRICT COLLECTOR PATAN_IDA)","Bharatsinhji Shankarji Dabhi","PATAN","07-Apr-2026","MUDVADA GRAM PANCHAYAT","Payment Success","500000"
"10070","Uttar Pradesh","Lighting of public spaces","WS/MP18377/2026-2027/279186","BAREILLY(DISTRICT MAGISTRAE BAREILLY_IDA)","CHHATRA PAL SINGH GANGWAR","BAREILLY","20-May-2026","MS SARVESH KUMAR THEKEDAR","Payment Success","678337"
"10071","Uttar Pradesh","Lighting of public spaces","WS/MP18377/2026-2027/279186","BAREILLY(DISTRICT MAGISTRAE BAREILLY_IDA)","CHHATRA PAL SINGH GANGWAR","BAREILLY","16-Jun-2026","MS SARVESH KUMAR THEKEDAR","Payment Success","228068"
"10072","Uttar Pradesh","Lighting of public spaces","WS/MP18377/2026-2027/279187","BAREILLY(DISTRICT MAGISTRAE BAREILLY_IDA)","CHHATRA PAL SINGH GANGWAR","BAREILLY","20-May-2026","MS SARVESH KUMAR THEKEDAR","Payment Success","678337"
"10073","Uttar Pradesh","Lighting of public spaces","WS/MP18377/2026-2027/279187","BAREILLY(DISTRICT MAGISTRAE BAREILLY_IDA)","CHHATRA PAL SINGH GANGWAR","BAREILLY","16-Jun-2026","MS SARVESH KUMAR THEKEDAR","Payment Success","228068"
"10074","Uttar Pradesh","Lighting of public spaces","WS/MP18377/2025-2026/267157","BAREILLY(DISTRICT MAGISTRAE BAREILLY_IDA)","CHHATRA PAL SINGH GANGWAR","BAREILLY","10-Mar-2026","MS SARVESH KUMAR THEKEDAR","Payment Success","678337"
"10075","Uttar Pradesh","Lighting of public spaces","WS/MP18377/2025-2026/267157","BAREILLY(DISTRICT MAGISTRAE BAREILLY_IDA)","CHHATRA PAL SINGH GANGWAR","BAREILLY","11-May-2026","MS SARVESH KUMAR THEKEDAR","Payment Success","228069"
"10076","Uttar Pradesh","Lighting of public spaces","WS/MP18377/2025-2026/267158","BAREILLY(DISTRICT MAGISTRAE BAREILLY_IDA)","CHHATRA PAL SINGH GANGWAR","BAREILLY","10-Mar-2026","MS SARVESH KUMAR THEKEDAR","Payment Success","678337"
"10077","Uttar Pradesh","Lighting of public spaces","WS/MP18377/2025-2026/267158","BAREILLY(DISTRICT MAGISTRAE BAREILLY_IDA)","CHHATRA PAL SINGH GANGWAR","BAREILLY","11-May-2026","MS SARVESH KUMAR THEKEDAR","Payment Success","228069"
"10078","Uttar Pradesh","Lighting of public spaces","WS/MP18377/2025-2026/267151","BAREILLY(DISTRICT MAGISTRAE BAREILLY_IDA)","CHHATRA PAL SINGH GANGWAR","BAREILLY","10-Mar-2026","MS SARVESH KUMAR THEKEDAR","Payment Success","678337"
"10079","Uttar Pradesh","Lighting of public spaces","WS/MP18377/2025-2026/267151","BAREILLY(DISTRICT MAGISTRAE BAREILLY_IDA)","CHHATRA PAL SINGH GANGWAR","BAREILLY","11-May-2026","MS SARVESH KUMAR THEKEDAR","Payment Success","228068"
"10080","Uttar Pradesh","Lighting of public spaces","WS/MP18377/2025-2026/267165","BAREILLY(DISTRICT MAGISTRAE BAREILLY_IDA)","CHHATRA PAL SINGH GANGWAR","BAREILLY","10-Mar-2026","MS SARVESH KUMAR THEKEDAR","Payment Success","678337"
"10081","Uttar Pradesh","Lighting of public spaces","WS/MP18377/2025-2026/267165","BAREILLY(DISTRICT MAGISTRAE BAREILLY_IDA)","CHHATRA PAL SINGH GANGWAR","BAREILLY","11-May-2026","MS SARVESH KUMAR THEKEDAR","Payment Success","228068"
"10082","Uttar Pradesh","Lighting of public spaces","WS/MP18377/2025-2026/267163","BAREILLY(DISTRICT MAGISTRAE BAREILLY_IDA)","CHHATRA PAL SINGH GANGWAR","BAREILLY","10-Mar-2026","MS SARVESH KUMAR THEKEDAR","Payment Success","678337"
"10083","Uttar Pradesh","Lighting of public spaces","WS/MP18377/2025-2026/267163","BAREILLY(DISTRICT MAGISTRAE BAREILLY_IDA)","CHHATRA PAL SINGH GANGWAR","BAREILLY","11-May-2026","MS SARVESH KUMAR THEKEDAR","Payment Success","228068"
"10084","Uttar Pradesh","Lighting of public spaces","WS/MP18377/2025-2026/267156","BAREILLY(DISTRICT MAGISTRAE BAREILLY_IDA)","CHHATRA PAL SINGH GANGWAR","BAREILLY","10-Mar-2026","MS SARVESH KUMAR THEKEDAR","Payment Success","678337"
"10085","Uttar Pradesh","Lighting of public spaces","WS/MP18377/2025-2026/267156","BAREILLY(DISTRICT MAGISTRAE BAREILLY_IDA)","CHHATRA PAL SINGH GANGWAR","BAREILLY","11-May-2026","MS SARVESH KUMAR THEKEDAR","Payment Success","228068"
"10086","Uttar Pradesh","Lighting of public spaces","WS/MP18377/2025-2026/267160","BAREILLY(DISTRICT MAGISTRAE BAREILLY_IDA)","CHHATRA PAL SINGH GANGWAR","BAREILLY","10-Mar-2026","MS SARVESH KUMAR THEKEDAR","Payment Success","678337"
"10087","Uttar Pradesh","Lighting of public spaces","WS/MP18377/2025-2026/267160","BAREILLY(DISTRICT MAGISTRAE BAREILLY_IDA)","CHHATRA PAL SINGH GANGWAR","BAREILLY","11-May-2026","MS SARVESH KUMAR THEKEDAR","Payment Success","228068"
"10088","Uttar Pradesh","Lighting of public spaces","WS/MP18377/2025-2026/267161","BAREILLY(DISTRICT MAGISTRAE BAREILLY_IDA)","CHHATRA PAL SINGH GANGWAR","BAREILLY","10-Mar-2026","MS SARVESH KUMAR THEKEDAR","Payment Success","678337"
"10089","Uttar Pradesh","Lighting of public spaces","WS/MP18377/2025-2026/267161","BAREILLY(DISTRICT MAGISTRAE BAREILLY_IDA)","CHHATRA PAL SINGH GANGWAR","BAREILLY","11-May-2026","MS SARVESH KUMAR THEKEDAR","Payment Success","228068"
"10090","Uttar Pradesh","Lighting of public spaces","WS/MP18377/2025-2026/267166","BAREILLY(DISTRICT MAGISTRAE BAREILLY_IDA)","CHHATRA PAL SINGH GANGWAR","BAREILLY","10-Mar-2026","MS SARVESH KUMAR THEKEDAR","Payment Success","678337"
"10091","Uttar Pradesh","Lighting of public spaces","WS/MP18377/2025-2026/267166","BAREILLY(DISTRICT MAGISTRAE BAREILLY_IDA)","CHHATRA PAL SINGH GANGWAR","BAREILLY","11-May-2026","MS SARVESH KUMAR THEKEDAR","Payment Success","228068"
"10092","Uttar Pradesh","Lighting of public spaces","WS/MP18377/2025-2026/267162","BAREILLY(DISTRICT MAGISTRAE BAREILLY_IDA)","CHHATRA PAL SINGH GANGWAR","BAREILLY","10-Mar-2026","MS SARVESH KUMAR THEKEDAR","Payment Success","678337"
"10093","Uttar Pradesh","Lighting of public spaces","WS/MP18377/2025-2026/267162","BAREILLY(DISTRICT MAGISTRAE BAREILLY_IDA)","CHHATRA PAL SINGH GANGWAR","BAREILLY","11-May-2026","MS SARVESH KUMAR THEKEDAR","Payment Success","228068"
"10094","Uttar Pradesh","Lighting of public spaces","WS/MP18377/2025-2026/267153","BAREILLY(DISTRICT MAGISTRAE BAREILLY_IDA)","CHHATRA PAL SINGH GANGWAR","BAREILLY","10-Mar-2026","MS SARVESH KUMAR THEKEDAR","Payment Success","678337"
"10095","Uttar Pradesh","Lighting of public spaces","WS/MP18377/2025-2026/267153","BAREILLY(DISTRICT MAGISTRAE BAREILLY_IDA)","CHHATRA PAL SINGH GANGWAR","BAREILLY","11-May-2026","MS SARVESH KUMAR THEKEDAR","Payment Success","228068"
"10096","Uttar Pradesh","Lighting of public spaces","WS/MP18377/2025-2026/267159","BAREILLY(DISTRICT MAGISTRAE BAREILLY_IDA)","CHHATRA PAL SINGH GANGWAR","BAREILLY","10-Mar-2026","MS SARVESH KUMAR THEKEDAR","Payment Success","678337"
